"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009051401,2010-02-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","02","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051401,2010-02-28,1,"CARCHARODON CARCHARIAS","WHITE SHARK","28","02","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051401,2010-03-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051401,2010-03-16,1,"CARCHARODON CARCHARIAS","WHITE SHARK","16","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051402,2009-05-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051901,2009-05-19,1,"CARCHARODON CARCHARIAS","WHITE SHARK","19","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051901,2010-05-08,1,"CARCHARODON CARCHARIAS","WHITE SHARK","08","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051901,2010-08-06,1,"CARCHARODON CARCHARIAS","WHITE SHARK","06","08","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051901,2010-09-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051901,2010-10-28,1,"CARCHARODON CARCHARIAS","WHITE SHARK","28","10","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051901,2010-10-31,1,"CARCHARODON CARCHARIAS","WHITE SHARK","31","10","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051902,2009-05-19,1,"CARCHARODON CARCHARIAS","WHITE SHARK","19","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051903,2009-05-19,1,"CARCHARODON CARCHARIAS","WHITE SHARK","19","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052001,2009-05-20,1,"CARCHARODON CARCHARIAS","WHITE SHARK","20","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052001,2009-05-24,1,"CARCHARODON CARCHARIAS","WHITE SHARK","24","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052001,2010-07-02,1,"CARCHARODON CARCHARIAS","WHITE SHARK","02","07","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052001,2011-10-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","10","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052101,2009-05-21,1,"CARCHARODON CARCHARIAS","WHITE SHARK","21","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052101,2011-03-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","03","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052101,2011-03-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","03","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052101,2011-10-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","10","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052101,2011-10-29,1,"CARCHARODON CARCHARIAS","WHITE SHARK","29","10","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052102,2009-05-21,1,"CARCHARODON CARCHARIAS","WHITE SHARK","21","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052102,2009-06-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052102,2009-06-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052102,2009-07-18,1,"CARCHARODON CARCHARIAS","WHITE SHARK","18","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052102,2010-03-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052102,2010-03-13,1,"CARCHARODON CARCHARIAS","WHITE SHARK","13","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052301,2009-05-23,1,"CARCHARODON CARCHARIAS","WHITE SHARK","23","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2009-05-23,1,"CARCHARODON CARCHARIAS","WHITE SHARK","23","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2009-06-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2010-05-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2010-05-31,1,"CARCHARODON CARCHARIAS","WHITE SHARK","31","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2010-09-30,1,"CARCHARODON CARCHARIAS","WHITE SHARK","30","09","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2010-10-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","10","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052302,2010-10-15,1,"CARCHARODON CARCHARIAS","WHITE SHARK","15","10","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052303,2009-05-23,1,"CARCHARODON CARCHARIAS","WHITE SHARK","23","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052303,2009-05-24,1,"CARCHARODON CARCHARIAS","WHITE SHARK","24","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052303,2009-05-25,1,"CARCHARODON CARCHARIAS","WHITE SHARK","25","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052303,2009-06-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052303,2009-06-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052303,2011-06-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","06","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
